sigma_b,estimator,prop_signif,type_s_rate,mse
0.0,exposed_only,0.736842105263158,0.0,0.0017032200365092928
0.01,exposed_only,0.618421052631579,0.0,0.0017118668055390728
0.02,exposed_only,0.5789473684210527,0.013157894736842105,0.0021610147190168254
0.03,exposed_only,0.5921052631578947,0.0,0.002485763394428258
0.04,exposed_only,0.631578947368421,0.013157894736842105,0.0033344463507439643
0.05,exposed_only,0.6052631578947368,0.013157894736842105,0.004135337796963485
0.06,exposed_only,0.6447368421052632,0.013157894736842105,0.005975857563695883
0.07,exposed_only,0.6842105263157894,0.039473684210526314,0.007320872950112559
0.08,exposed_only,0.6052631578947368,0.05263157894736842,0.006546226625010981
0.09,exposed_only,0.5789473684210527,0.05263157894736842,0.008912700820498849
0.1,exposed_only,0.5263157894736842,0.13157894736842105,0.013699885659406559
0.0,difference,0.4473684210526315,0.0,0.003054308018175996
0.01,difference,0.4473684210526316,0.0,0.0031273418793188387
0.02,difference,0.4342105263157895,0.0,0.003449720458904574
0.03,difference,0.48684210526315785,0.0,0.0029106590986944132
0.04,difference,0.4473684210526316,0.013157894736842105,0.0027152672214951767
0.05,difference,0.40789473684210525,0.0,0.00266602815644538
0.06,difference,0.4605263157894737,0.0,0.002624973737422756
0.07,difference,0.4736842105263158,0.0,0.003527207330505887
0.08,difference,0.4342105263157895,0.0,0.0035951902735455853
0.09,difference,0.3026315789473684,0.0,0.003210934667906367
0.1,difference,0.4736842105263158,0.0,0.0026873874456395785
0.0,posterior,0.8947368421052632,0.0,0.0015561277490573784
0.01,posterior,0.6973684210526316,0.0,0.0013447723899706846
0.02,posterior,0.763157894736842,0.0,0.0013725865215257261
0.03,posterior,0.8421052631578947,0.0,0.001790280045662714
0.04,posterior,0.8157894736842106,0.0,0.0014981466113687448
0.05,posterior,0.75,0.0,0.001696450650423073
0.06,posterior,0.7105263157894737,0.0,0.0012890327227903279
0.07,posterior,0.7763157894736842,0.0,0.001961059865853708
0.08,posterior,0.7236842105263158,0.0,0.00227079703008208
0.09,posterior,0.5,0.0,0.0015634263453110928
0.1,posterior,0.75,0.0,0.0017591580666570226
