sigma_b,estimator,prop_signif,sample_mse,pop_mse,type_s_rate,rank_corr
0.0,difference,0.4405263157894737,0.0032405006150110155,0.00653145036517841,0.005,0.6808447313710471
0.0,exposed_only,0.6121052631578947,0.0016325760014140247,0.004937582389728775,0.005526315789473684,0.7950563518984572
0.0,posterior,0.746842105263158,0.0011852056423513999,0.0022062189948142343,0.0005263157894736842,0.7935113250902726
0.01,difference,0.43078947368421056,0.003217977580814255,0.006331675528429429,0.003947368421052632,0.6732268300689352
0.01,exposed_only,0.6197368421052631,0.001746679357787944,0.0049517112789064215,0.0060526315789473685,0.777844403107561
0.01,posterior,0.7555263157894737,0.0012405565817414689,0.0021153251009902486,0.0002631578947368421,0.7740037203195098
0.02,difference,0.4326315789473684,0.0030758431636711252,0.00618147748878824,0.002631578947368421,0.676526972316446
0.02,exposed_only,0.611578947368421,0.001949105352291065,0.005049447689304114,0.008157894736842105,0.7564263048473575
0.02,posterior,0.7373684210526317,0.0012559412148452568,0.0019585884962708584,0.0002631578947368421,0.7637991027464711
0.03,difference,0.43578947368421056,0.0032060540115079533,0.006552681637097511,0.004210526315789474,0.6860684976474449
0.03,exposed_only,0.6147368421052631,0.0025753877902952253,0.005916435084665883,0.008421052631578947,0.7188729620308567
0.03,posterior,0.7036842105263158,0.0013831178983494655,0.0023265935054692637,0.0002631578947368421,0.738647554437028
0.04,difference,0.4468421052631579,0.0032659341465205204,0.0066554814621822365,0.007105263157894737,0.67800853485064
0.04,exposed_only,0.6089473684210526,0.003263618794088965,0.006537527278629493,0.015,0.6643483969799759
0.04,posterior,0.7047368421052631,0.0015436971875803312,0.002259911754563735,0.0002631578947368421,0.7171397308239413
0.05,difference,0.43078947368421056,0.0031531238634227156,0.0062478218663868405,0.003947368421052632,0.6707035780719991
0.05,exposed_only,0.5926315789473684,0.004009498198985548,0.007035766768226877,0.017368421052631578,0.631053725790568
0.05,posterior,0.7065789473684211,0.0015210737057249442,0.0018233541799403642,0.0002631578947368421,0.7096378159536054
0.06,difference,0.43684210526315786,0.0033361512838136808,0.0062769353672780795,0.0018421052631578947,0.6589298610351242
0.06,exposed_only,0.606578947368421,0.005104822902651657,0.008150895689580684,0.023684210526315787,0.576885873727979
0.06,posterior,0.72,0.0016398014143505723,0.001786813508038285,0.0,0.6939884013568224
0.07,difference,0.4355263157894737,0.003233235703854787,0.006301284769030893,0.0028947368421052633,0.6601116095852937
0.07,exposed_only,0.6152631578947368,0.006570883998558017,0.009505283935639186,0.0381578947368421,0.5231447641973958
0.07,posterior,0.7142105263157894,0.0016809925817561418,0.001862460037139851,0.0002631578947368421,0.6803085676769887
0.08,difference,0.43921052631578944,0.003136897237468994,0.006206623754667422,0.005526315789473684,0.6592449939818361
0.08,exposed_only,0.6071052631578947,0.008006963163801206,0.011252758332753915,0.04868421052631579,0.5033592296750191
0.08,posterior,0.708421052631579,0.001607859524696886,0.0017697115444605142,0.0005263157894736842,0.6809453988401357
0.09,difference,0.42921052631578943,0.0032166927710644854,0.006258303683894256,0.0044736842105263155,0.6690316227158333
0.09,exposed_only,0.631578947368421,0.009664321094872513,0.01281897876361051,0.06394736842105263,0.4723383302330671
0.09,posterior,0.68,0.0016895414027464529,0.0017517126582899535,0.0,0.6850180544917387
0.1,difference,0.4468421052631579,0.003234378118600409,0.006370436606964168,0.0028947368421052633,0.6710953058321479
0.1,exposed_only,0.6426315789473684,0.01169710197691904,0.014662240950272815,0.075,0.4245081518765729
0.1,posterior,0.7013157894736842,0.0016849762598311968,0.0017942595613816114,0.0,0.6822584527847685
