sigma_b,estimator,prop_signif,type_s_rate,mse
0.0,exposed_only,0.7236842105263157,0.0,0.0012164395188602344
0.01,exposed_only,0.631578947368421,0.0,0.001125443218012096
0.02,exposed_only,0.6710526315789473,0.0,0.0012370606835985726
0.03,exposed_only,0.6710526315789473,0.013157894736842105,0.0022559299406833735
0.04,exposed_only,0.6973684210526316,0.039473684210526314,0.002684572353936473
0.05,exposed_only,0.736842105263158,0.05263157894736842,0.0044763436734308595
0.06,exposed_only,0.736842105263158,0.0,0.005182842669704691
0.07,exposed_only,0.6710526315789473,0.02631578947368421,0.004846105853092495
0.08,exposed_only,0.5921052631578947,0.05263157894736842,0.008559825267525006
0.09,exposed_only,0.5789473684210527,0.02631578947368421,0.007995345469426936
0.1,exposed_only,0.75,0.11842105263157894,0.011844420185269103
0.0,difference,0.381578947368421,0.0,0.005667922948711782
0.01,difference,0.3157894736842105,0.0,0.004021956332876115
0.02,difference,0.39473684210526316,0.0,0.004365205194674348
0.03,difference,0.40789473684210525,0.0,0.004400047016461139
0.04,difference,0.4605263157894737,0.0,0.005336131413758725
0.05,difference,0.39473684210526316,0.0,0.005822931037021684
0.06,difference,0.40789473684210525,0.0,0.004759724668855583
0.07,difference,0.32894736842105265,0.0,0.003835465471208708
0.08,difference,0.42105263157894735,0.0,0.00407171238177308
0.09,difference,0.39473684210526316,0.0,0.0038885707086485943
0.1,difference,0.39473684210526316,0.0,0.005348484451280684
0.0,posterior,0.8552631578947368,0.0,0.000972902793290162
0.01,posterior,0.7894736842105263,0.0,0.0008727733554935572
0.02,posterior,0.7236842105263158,0.0,0.0008236170045132582
0.03,posterior,0.8026315789473684,0.0,0.001122655035223562
0.04,posterior,0.75,0.0,0.0012423198222067926
0.05,posterior,0.6447368421052632,0.0,0.0015912318733364373
0.06,posterior,0.6842105263157894,0.0,0.0013686530859137011
0.07,posterior,0.618421052631579,0.0,0.0014341302876444012
0.08,posterior,0.5921052631578947,0.0,0.0012879431282245214
0.09,posterior,0.7894736842105263,0.0,0.0020596755875794933
0.1,posterior,0.5789473684210527,0.0,0.001531791578745256
