sigma_b,estimator,prop_signif,sample_mse,pop_mse,type_s_rate,rank_corr
0.0,difference,0.35368421052631577,0.004789558314483111,0.007906713855530413,0.003947368421052632,0.6118787613524456
0.0,exposed_only,0.6686842105263158,0.0011941851302586836,0.004294182979754046,0.005263157894736842,0.8190633548528286
0.0,posterior,0.7752631578947369,0.001014778320414961,0.0020261305933942644,0.0002631578947368421,0.8167567567567567
0.01,difference,0.35526315789473684,0.004827527689481966,0.007944021151580619,0.005263157894736842,0.5972666593719225
0.01,exposed_only,0.6765789473684211,0.0013595889424987504,0.004592606726007968,0.007105263157894737,0.8091519859940912
0.01,posterior,0.7547368421052632,0.0010696861731917882,0.002159415221722607,0.0005263157894736842,0.8083269504322136
0.02,difference,0.37026315789473685,0.004923713478365683,0.008134112348356511,0.005263157894736842,0.6111368858737279
0.02,exposed_only,0.6760526315789473,0.0016056764286649712,0.004766157259556644,0.008684210526315789,0.7911894080315133
0.02,posterior,0.7584210526315789,0.0011512809052675087,0.0021848398531519567,0.0005263157894736842,0.7969952948900317
0.03,difference,0.36684210526315786,0.005023753916763586,0.008173633556275657,0.005,0.607504103293577
0.03,exposed_only,0.6678947368421052,0.002197191807577725,0.005205912224780534,0.010526315789473684,0.7419389429915745
0.03,posterior,0.7455263157894737,0.0013360861326818258,0.0020644986637874518,0.0002631578947368421,0.7588510777984462
0.04,difference,0.3671052631578947,0.004824906838515699,0.008363771811993811,0.005,0.6287296203085677
0.04,exposed_only,0.65,0.0027418957079119394,0.006266286020199105,0.01631578947368421,0.7245256592625013
0.04,posterior,0.7052631578947368,0.0014737729430074798,0.002321598593052999,0.0002631578947368421,0.7569887296203086
0.05,difference,0.35526315789473684,0.005033988672764025,0.008418430840291704,0.005526315789473684,0.6152379910274647
0.05,exposed_only,0.6576315789473685,0.0037172412355385652,0.007040479165641268,0.021052631578947368,0.6544282744282743
0.05,posterior,0.6744736842105263,0.0015698800191807063,0.00224930912880847,0.0005263157894736842,0.718564394353868
0.06,difference,0.37526315789473685,0.004728336624697526,0.008006566866562138,0.005263157894736842,0.6210416894627421
0.06,exposed_only,0.6710526315789473,0.005014187522157221,0.008249217610351467,0.03657894736842105,0.6138855454644928
0.06,posterior,0.7065789473684211,0.0016792501093051665,0.001925588480969042,0.0,0.7057467994310099
0.07,difference,0.3705263157894737,0.005066962065668434,0.008268477758898886,0.004736842105263157,0.6079133384396542
0.07,exposed_only,0.6689473684210526,0.0059639431955315,0.009185991542608893,0.041842105263157896,0.557680271364482
0.07,posterior,0.6897368421052632,0.0016720903527111957,0.0018058963424773303,0.0,0.6829828208775577
0.08,difference,0.3581578947368421,0.004902190811051945,0.008104765491926262,0.005,0.6050465039938724
0.08,exposed_only,0.6626315789473683,0.007699580049992414,0.010694710016197541,0.06289473684210525,0.49416785206258884
0.08,posterior,0.6802631578947369,0.0018239588054667919,0.0018340876200849893,0.0002631578947368421,0.6573126162599847
0.09,difference,0.36026315789473684,0.004895872263014975,0.007901589649282014,0.002631578947368421,0.5865411970675128
0.09,exposed_only,0.6797368421052632,0.009264819115783876,0.01222753668614782,0.06552631578947368,0.4588160630265893
0.09,posterior,0.6978947368421052,0.001796584716852227,0.0016712783582550669,0.0,0.6374373563847248
0.1,difference,0.35868421052631577,0.004920395030856808,0.00806448956902473,0.006578947368421052,0.6016741437794069
0.1,exposed_only,0.6807894736842105,0.011330543206396983,0.014442334521234074,0.08710526315789473,0.44120800962906226
0.1,posterior,0.6607894736842106,0.001920873142357508,0.0018591152571917418,0.0002631578947368421,0.6463354852828538
